Symbol,Name,LastSale,MarketCap,ADR TSO,Country,IPOyear,Sector,Industry,Summary Quote
NCZ,AllianzGI Convertible & Income Fund II,5.58,422116972.7,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,23.84,0,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncz^a
AROC,"Archrock, Inc.",9.4,1225895717,n/a,United States,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/aroc
ARTNA,Artesian Resources Corporation,39.44,364672297.2,n/a,United States,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/artna
BGIO,BlackRock 2022 Global Income Opportunity Trust,8.97,198496044.6,n/a,United States,2017,n/a,n/a,https://www.nasdaq.com/symbol/bgio
BFZ,BlackRock California Municipal Income Trust,12.79,408037899.2,n/a,United States,2001,n/a,n/a,https://www.nasdaq.com/symbol/bfz
HYT,"Blackrock Corporate High Yield Fund, Inc.",10.24,1275387750,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/hyt
FRA,Blackrock Floating Rate Income Strategies Fund Inc,12.87,479182120.6,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/fra
BFO,Blackrock Florida Municipal 2020 Term Trust,14.29,79482809.12,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/bfo
BAF,BlackRock Income Investment Quality Trust,13.93,121879392.7,n/a,United States,2002,n/a,n/a,https://www.nasdaq.com/symbol/baf
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),14.05,241461319,n/a,United States,1993,n/a,n/a,https://www.nasdaq.com/symbol/bkn
BZM,BlackRock Maryland Municipal Bond Trust,14.37,29906599.71,n/a,United States,2002,n/a,n/a,https://www.nasdaq.com/symbol/bzm
MUI,Blackrock Muni Intermediate Duration Fund Inc,13.83,529637358.8,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/mui
MNE,Blackrock Muni New York Intermediate Duration Fund Inc,13.3,55990925.2,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/mne
BKK,Blackrock Municipal 2020 Term Trust,15.0499,304559227.7,n/a,United States,2003,n/a,n/a,https://www.nasdaq.com/symbol/bkk
BBF,BlackRock Municipal Income Investment Trust,13.06,133459839.6,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbf
BYM,Blackrock Municipal Income Quality Trust,13.3927,353651292.4,n/a,United States,2002,n/a,n/a,https://www.nasdaq.com/symbol/bym
BFK,BlackRock Municipal Income Trust,13.33,597402971.9,n/a,United States,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bfk
BLE,BlackRock Municipal Income Trust II,14.24,335065220.6,n/a,United States,2002,n/a,n/a,https://www.nasdaq.com/symbol/ble
